$ kubectl logs  kindnet-6fq8s -n kube-system
I0404 11:35:14.329555       1 main.go:301] handling current node
I0404 11:35:24.330660       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:35:24.330714       1 main.go:301] handling current node
I0404 11:35:34.330169       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:35:34.330218       1 main.go:301] handling current node
I0404 11:35:44.333022       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:35:44.333084       1 main.go:301] handling current node
I0404 11:35:54.330080       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:35:54.330129       1 main.go:301] handling current node
I0404 11:36:04.331972       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:36:04.332151       1 main.go:301] handling current node
I0404 11:36:14.331617       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:36:14.331685       1 main.go:301] handling current node
I0404 11:36:24.340176       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:36:24.340221       1 main.go:301] handling current node
I0404 11:36:34.334270       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:36:34.334324       1 main.go:301] handling current node
I0404 11:36:44.333049       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:36:44.333153       1 main.go:301] handling current node
I0404 11:36:54.333522       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:36:54.333595       1 main.go:301] handling current node
I0404 11:37:04.331798       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:37:04.331848       1 main.go:301] handling current node
I0404 11:37:14.330067       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:37:14.330181       1 main.go:301] handling current node
I0404 11:37:24.338569       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:37:24.338635       1 main.go:301] handling current node
I0404 11:37:34.329846       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:37:34.329901       1 main.go:301] handling current node
I0404 11:37:44.331792       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:37:44.331937       1 main.go:301] handling current node
I0404 11:37:54.329496       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:37:54.329538       1 main.go:301] handling current node
I0404 11:38:04.330434       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:38:04.330469       1 main.go:301] handling current node
I0404 11:38:14.327480       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:38:14.327551       1 main.go:301] handling current node
I0404 11:38:24.329428       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:38:24.329461       1 main.go:301] handling current node
I0404 11:38:34.328433       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:38:34.328477       1 main.go:301] handling current node
I0404 11:38:44.331105       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:38:44.331173       1 main.go:301] handling current node
I0404 11:38:54.329375       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:38:54.329423       1 main.go:301] handling current node
I0404 11:39:04.327913       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:39:04.328010       1 main.go:301] handling current node
I0404 11:39:14.330665       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:39:14.330779       1 main.go:301] handling current node
I0404 11:39:24.335912       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:39:24.335963       1 main.go:301] handling current node
I0404 11:39:34.337742       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:39:34.337809       1 main.go:301] handling current node
I0404 11:39:44.331188       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:39:44.331252       1 main.go:301] handling current node
I0404 11:39:54.329862       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:39:54.329919       1 main.go:301] handling current node
I0404 11:40:04.347938       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:40:04.348423       1 main.go:301] handling current node
I0404 11:40:14.329792       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:40:14.329823       1 main.go:301] handling current node
I0404 11:40:24.329104       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:40:24.329179       1 main.go:301] handling current node
I0404 11:40:34.327744       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:40:34.327774       1 main.go:301] handling current node
I0404 11:40:44.328603       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:40:44.328662       1 main.go:301] handling current node
I0404 11:40:54.331993       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:40:54.332072       1 main.go:301] handling current node
I0404 11:41:04.342314       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:41:04.342486       1 main.go:301] handling current node
I0404 11:41:14.327629       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:41:14.327687       1 main.go:301] handling current node
I0404 11:41:24.327773       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:41:24.327847       1 main.go:301] handling current node
I0404 11:41:34.336179       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:41:34.336264       1 main.go:301] handling current node
I0404 11:41:44.332395       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:41:44.332462       1 main.go:301] handling current node
I0404 11:41:54.327700       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:41:54.327783       1 main.go:301] handling current node
I0404 11:42:04.328193       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:42:04.328239       1 main.go:301] handling current node
I0404 11:42:14.328369       1 main.go:297] Handling node with IPs: map[172.25.0.2:{} fc00:f853:ccd:e793::2:{}]
I0404 11:42:14.328445       1 main.go:301] handling current node
I0404 11:42:24.332295       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:42:24.332337       1 main.go:301] handling current node
I0404 11:42:34.330978       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:42:34.331011       1 main.go:301] handling current node
I0404 11:42:44.338651       1 main.go:297] Handling node with IPs: map[172.25.0.2:{} fc00:f853:ccd:e793::2:{}]
I0404 11:42:44.338984       1 main.go:301] handling current node
I0404 11:42:54.330951       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:42:54.330996       1 main.go:301] handling current node
I0404 11:43:04.333788       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:43:04.333818       1 main.go:301] handling current node
